LocationId,Name,Description,Location,Date,LineColor
1498752,PW-413,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9817100,40.4127700,0 -79.9842600,40.4127000,0 -79.9843500,40.4126700,0 -79.9863300,40.4126200,0 -79.9872900,40.4125800,0</coordinates></LineString>",1/20/2015 10:14:26 AM,#838A00
1498772,PW-128,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0155500,40.4728700,0 -80.0155100,40.4719200,0 -80.0155400,40.4717500,0 -80.0157200,40.4715600,0 -80.0159400,40.4713900,0 -80.0162700,40.4711900,0 -80.0169400,40.4708500,0 -80.0179600,40.4702800,0 -80.0180800,40.4701900,0 -80.0182200,40.4700600,0 -80.0187800,40.4694000,0 -80.0192500,40.4688100,0 -80.0194100,40.4686700,0 -80.0196000,40.4685800,0 -80.0202200,40.4684000,0 -80.0214000,40.4681200,0</coordinates></LineString>",1/20/2015 10:14:28 AM,#838A00
1498768,PW-212,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9715500,40.4599500,0 -79.9713700,40.4598000,0 -79.9714700,40.4597300,0 -79.9742000,40.4578300,0 -79.9753600,40.4570200,0</coordinates></LineString>",1/20/2015 10:14:29 AM,#838A00
1498774,PW-216,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9158400,40.4612300,0 -79.9159600,40.4616000,0 -79.9161100,40.4619400,0 -79.9164800,40.4625300,0 -79.9168300,40.4629400,0 -79.9180300,40.4641300,0 -79.9184400,40.4644900,0 -79.9185900,40.4645900,0 -79.9186900,40.4646600,0</coordinates></LineString>",1/20/2015 10:14:30 AM,#838A00
1498761,PW-235,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9425700,40.4688400,0 -79.9428300,40.4689100,0</coordinates></LineString>",1/20/2015 10:14:31 AM,#838A00
1498765,PW-603,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9956500,40.4361100,0 -79.9961600,40.4362700,0 -79.9970000,40.4365600,0 -79.9982300,40.4370200,0 -79.9987000,40.4372200,0 -80.0001600,40.4377800,0 -79.9998700,40.4382000,0 -79.9990100,40.4378700,0 -79.9992800,40.4374500,0 -79.9987400,40.4372400,0 -79.9985900,40.4371700,0 -79.9984600,40.4370200,0 -79.9983300,40.4369700,0 -79.9981500,40.4368600,0 -79.9973400,40.4365600,0 -79.9971300,40.4365500,0 -79.9963400,40.4362500,0 -79.9956300,40.4360000,0</coordinates></LineString>",1/20/2015 10:14:35 AM,#838A00
1498760,PW-311,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9587500,40.4409200,0 -79.9605400,40.4396200,0</coordinates></LineString>",1/20/2015 10:14:37 AM,#838A00
1498762,PW-217,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9227300,40.4660400,0 -79.9233400,40.4646900,0 -79.9236100,40.4641200,0 -79.9236900,40.4640600,0 -79.9238400,40.4639300,0 -79.9238800,40.4639000,0 -79.9240300,40.4638200,0 -79.9244700,40.4639600,0 -79.9250200,40.4641100,0 -79.9255100,40.4642400,0 -79.9261800,40.4644500,0 -79.9264100,40.4645300,0 -79.9264800,40.4645800,0 -79.9265100,40.4646400,0 -79.9265100,40.4647300,0 -79.9259600,40.4656200,0 -79.9255200,40.4663400,0 -79.9252800,40.4667600,0 -79.9273800,40.4675000,0 -79.9278000,40.4676500,0</coordinates></LineString>",1/20/2015 10:14:37 AM,#838A00
1498766,PW-220,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9124000,40.4585300,0 -79.9144400,40.4593300,0 -79.9157100,40.4598300,0 -79.9156500,40.4600100,0 -79.9156200,40.4601200,0 -79.9156100,40.4602200,0 -79.9156600,40.4605300,0</coordinates></LineString>",1/20/2015 10:14:40 AM,#838A00
1498769,PW-501,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9984900,40.4288400,0 -79.9983500,40.4288700,0 -79.9982300,40.4289400,0 -79.9981200,40.4291200,0 -79.9980600,40.4291600,0 -79.9979300,40.4291800,0 -79.9976900,40.4291000,0 -79.9974800,40.4290200,0 -79.9970700,40.4288300,0 -79.9969700,40.4287800,0 -79.9969100,40.4287800,0 -79.9962200,40.4284600,0 -79.9959600,40.4283700,0 -79.9952700,40.4281900,0 -79.9946600,40.4279600,0 -79.9937400,40.4277400,0 -79.9934100,40.4277200,0</coordinates></LineString>",1/20/2015 10:14:41 AM,#838A00
